timestamp,commit,branch,benchmark,low_ns,estimate_ns,high_ns
2026-03-23T18:34:35Z,96cb1cd,main,registry_queries/best_available_129dev,131.22,131.63,132.06
2026-03-23T18:34:35Z,96cb1cd,main,registry_queries/total_memory_129dev,40.462,41.132,41.862
2026-03-23T18:34:35Z,96cb1cd,main,registry_queries/total_accelerator_memory_129dev,50.869,51.565,52.223
2026-03-23T18:34:35Z,96cb1cd,main,registry_queries/has_accelerator_129dev,1.2664,1.2726,1.2786
2026-03-23T18:34:35Z,96cb1cd,main,registry_queries/by_family_gpu_61dev,188.49,188.97,189.48
2026-03-23T18:34:35Z,96cb1cd,main,registry_queries/by_family_tpu_61dev,89.487,90.325,91.437
2026-03-23T18:34:35Z,96cb1cd,main,registry_queries/satisfying_gpu_61dev,230.34,231.04,231.74
2026-03-23T18:34:35Z,96cb1cd,main,registry_queries/satisfying_any_accel_61dev,217.99,219.77,222.50
2026-03-23T18:34:35Z,96cb1cd,main,cached_registry/get_cached_hit,28.889,28.973,29.059
2026-03-23T18:34:35Z,96cb1cd,main,cached_registry/invalidate,3.6008,3.6378,3.6748
2026-03-23T18:34:35Z,96cb1cd,main,lazy_registry/new,10680.0000,10715.0000,10754.0000
2026-03-23T18:34:35Z,96cb1cd,main,lazy_registry/by_family_gpu_cold,1020300.0000,1031800.0000,1046500.0000
2026-03-23T18:34:35Z,96cb1cd,main,lazy_registry/by_family_gpu_warm,46.364,48.409,51.013
2026-03-23T18:34:35Z,96cb1cd,main,lazy_registry/into_registry,2057400.0000,2147000.0000,2254900.0000
2026-03-23T18:34:35Z,96cb1cd,main,large_registry_sharding/plan_sharding_70B_128gpu,1336.4000,1348.1000,1363.9000
2026-03-23T18:34:35Z,96cb1cd,main,large_registry_sharding/plan_sharding_405B_128gpu,1307.2000,1311.0000,1314.8000
2026-03-23T18:34:35Z,96cb1cd,main,large_registry_sharding/suggest_quantization_70B_128gpu,228.21,228.78,229.35
2026-03-23T18:34:35Z,96cb1cd,main,large_registry_sharding/plan_sharding_70B_mixed_61dev,150.90,151.75,152.64
2026-03-23T18:34:35Z,96cb1cd,main,large_json/serialize_129dev,14834.0000,14869.0000,14904.0000
2026-03-23T18:34:35Z,96cb1cd,main,large_json/deserialize_129dev,25090.0000,26116.0000,27401.0000
2026-03-23T18:34:35Z,96cb1cd,main,training_memory/7B_full_finetune_gpu,3.3197,3.5015,3.7311
2026-03-23T18:34:35Z,96cb1cd,main,training_memory/7B_lora_gpu,3.0089,3.0293,3.0563
2026-03-23T18:34:35Z,96cb1cd,main,training_memory/7B_qlora_4bit_gpu,3.0474,3.1748,3.3409
2026-03-23T18:34:35Z,96cb1cd,main,training_memory/7B_qlora_8bit_gpu,3.0371,3.1594,3.3152
2026-03-23T18:34:35Z,96cb1cd,main,training_memory/7B_prefix_gpu,3.2675,3.4684,3.7156
2026-03-23T18:34:35Z,96cb1cd,main,training_memory/7B_dpo_gpu,3.0294,3.1937,3.3992
2026-03-23T18:34:35Z,96cb1cd,main,training_memory/7B_rlhf_gpu,3.0485,3.2512,3.5061
2026-03-23T18:34:35Z,96cb1cd,main,training_memory/7B_distillation_gpu,2.7561,2.7704,2.7888
2026-03-23T18:34:35Z,96cb1cd,main,training_targets/7B_full_gpu,3.3103,3.4062,3.5336
2026-03-23T18:34:35Z,96cb1cd,main,training_targets/7B_full_tpu,2.6452,2.6627,2.6847
2026-03-23T18:34:35Z,96cb1cd,main,training_targets/7B_full_gaudi,2.6306,2.6450,2.6644
2026-03-23T18:34:35Z,96cb1cd,main,training_targets/7B_full_cpu,3.3271,3.4470,3.6044
2026-03-23T18:34:35Z,96cb1cd,main,training_model_sizes/1B_lora_gpu,3.3626,3.4713,3.6118
2026-03-23T18:34:35Z,96cb1cd,main,training_model_sizes/7B_lora_gpu,3.4286,3.6615,3.9532
2026-03-23T18:34:35Z,96cb1cd,main,training_model_sizes/13B_lora_gpu,3.3973,3.6632,3.9745
2026-03-23T18:34:35Z,96cb1cd,main,training_model_sizes/70B_lora_gpu,3.5980,3.9151,4.2838
